 Z= 103 A= 229  Lr beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.269087E-02  -3.878960E-16  -5.204170E-16  -7.880839E-16  -5.578910E-16   7.393489E-02  -4.034118E-16  -5.412337E-16  -7.755747E-16  -4.148420E-16
   0.100   7.288213E-02   4.884476E-08   3.901464E-10   7.146545E-14  -2.403223E-15   7.381303E-02  -2.758390E-08  -3.682689E-10  -4.888622E-14  -1.430490E-15
   0.200   7.344795E-02   1.710221E-07   6.162095E-09   4.419875E-12  -1.173002E-15   7.345165E-02  -9.059977E-08  -5.826231E-09  -3.022640E-12   2.274479E-15
   0.300   7.436486E-02   2.965852E-07   3.052854E-08   4.938183E-11   5.764873E-14   7.286315E-02  -1.322784E-07  -2.894433E-08  -3.414555E-11  -9.155134E-15
   0.400   7.559498E-02   3.189971E-07   9.360270E-08   2.698670E-10   5.719956E-13   7.206776E-02  -6.588969E-08  -8.907970E-08  -1.894898E-10  -1.225357E-13
   0.500   7.708776E-02   1.089384E-07   2.197557E-07   9.932388E-10   3.313944E-12   7.109282E-02   2.142584E-07  -2.101118E-07  -7.113907E-10  -7.279619E-13
   0.600   7.878239E-02  -4.687092E-07   4.343295E-07   2.838614E-09   1.376326E-11   6.997183E-02   8.190028E-07  -4.175189E-07  -2.082517E-09  -3.146720E-12
   0.700   8.061063E-02  -1.536693E-06   7.600633E-07   6.795718E-09   4.538185E-11   6.874329E-02   1.849103E-06  -7.350254E-07  -5.127949E-09  -1.081650E-11
   0.800   8.250001E-02  -3.188135E-06   1.213619E-06   1.425937E-08   1.259374E-10   6.744932E-02   3.380198E-06  -1.181097E-06  -1.111119E-08  -3.169171E-11
   0.900   8.437721E-02  -5.472158E-06   1.802586E-06   2.699923E-08   3.063084E-10   6.613408E-02   5.449557E-06  -1.765583E-06  -2.180959E-08  -8.167230E-11
   1.000   8.617145E-02  -8.383977E-06   2.523276E-06   4.705563E-08   6.704557E-10   6.484214E-02   8.046084E-06  -2.486824E-06  -3.955189E-08  -1.902628E-10
   1.100   8.781777E-02  -1.186048E-05   3.359577E-06   7.656024E-08   1.345786E-09   6.361678E-02   1.110479E-05  -3.329507E-06  -6.720338E-08  -4.083065E-10
   1.200   8.925994E-02  -1.578171E-05   4.282968E-06   1.174947E-07   2.512674E-09   6.249830E-02   1.450646E-05  -4.263531E-06  -1.080841E-07  -8.178761E-10
   1.300   9.045295E-02  -1.997793E-05   5.253753E-06   1.714067E-07   4.410737E-09   6.152238E-02   1.808285E-05  -5.244063E-06  -1.658128E-07  -1.544621E-09
   1.400   9.136487E-02  -2.424141E-05   6.223404E-06   2.391130E-07   7.341058E-09   6.071870E-02   2.162700E-05  -6.212886E-06  -2.440730E-07  -2.771293E-09
   1.500   9.197802E-02  -2.834159E-05   7.137836E-06   3.204211E-07   1.166161E-08   6.010974E-02   2.490790E-05  -7.101030E-06  -3.463084E-07  -4.752416E-09
   1.600   9.228939E-02  -3.204209E-05   7.941369E-06   4.138972E-07   1.777792E-08   5.970987E-02   2.768820E-05  -7.832556E-06  -4.753650E-07  -7.825932E-09
   1.700   9.231027E-02  -3.511783E-05   8.581053E-06   5.167078E-07   2.612640E-08   5.952487E-02   2.974325E-05  -8.329268E-06  -6.331062E-07  -1.242137E-08
   1.800   9.206511E-02  -3.737087E-05   9.011049E-06   6.245513E-07   3.715252E-08   5.955184E-02   3.087957E-05  -8.516009E-06  -8.200370E-07  -1.906033E-08
   1.900   9.158973E-02  -3.864369E-05   9.196743E-06   7.316883E-07   5.128565E-08   5.977944E-02   3.095114E-05  -8.326119E-06  -1.034983E-06  -2.834543E-08
   2.000   9.092896E-02  -3.882918E-05   9.118304E-06   8.310651E-07   6.891335E-08   6.018866E-02   2.987163E-05  -7.706614E-06  -1.274869E-06  -4.093350E-08
   2.100   9.013375E-02  -3.787699E-05   8.773426E-06   9.145337E-07   9.035299E-08   6.075388E-02   2.762162E-05  -6.622636E-06  -1.534643E-06  -5.749369E-08
   2.200   8.925818E-02  -3.579610E-05   8.179063E-06   9.731418E-07   1.158294E-07   6.144426E-02   2.424996E-05  -5.060753E-06  -1.807379E-06  -7.864287E-08
   2.300   8.835624E-02  -3.265411E-05   7.371992E-06   9.974912E-07   1.454513E-07   6.222534E-02   1.986931E-05  -3.030810E-06  -2.084582E-06  -1.048652E-07
   2.400   8.747884E-02  -2.857354E-05   6.408110E-06   9.781459E-07   1.791936E-07   6.306082E-02   1.464639E-05  -5.661330E-07  -2.356704E-06  -1.364122E-07
   2.500   8.667101E-02  -2.372574E-05   5.360403E-06   9.060852E-07   2.168819E-07   6.391433E-02   8.787975E-06   2.277951E-06  -2.613835E-06  -1.731912E-07
   2.600   8.596965E-02  -1.832280E-05   4.315625E-06   7.731916E-07   2.581736E-07   6.475111E-02   2.524114E-06   5.427196E-06  -2.846552E-06  -2.146510E-07
   2.700   8.540176E-02  -1.260789E-05   3.369745E-06   5.727679E-07   3.025445E-07   6.553961E-02  -3.909662E-06   8.792859E-06  -3.046854E-06  -2.596672E-07
