 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.256606E-02  -3.723801E-16  -5.724587E-16  -5.253893E-16  -1.516319E-15   7.357715E-02  -3.568643E-16  -6.661338E-16  -6.254634E-16  -7.867693E-16
   0.100   7.275459E-02  -7.459705E-13  -4.996004E-16   4.978689E-15  -8.354059E-15   7.345962E-02   2.197043E-13  -6.140921E-16   4.253151E-15  -1.198750E-14
   0.200   7.331232E-02  -2.861865E-12  -1.848521E-14   1.576168E-15  -2.574881E-15   7.311107E-02   8.589568E-13   1.322900E-14  -6.154560E-15  -5.664739E-15
   0.300   7.421600E-02  -6.040114E-12  -1.212988E-13  -2.389270E-15  -3.790797E-15   7.254352E-02   1.832359E-12   2.926825E-14  -1.225908E-15   1.115782E-15
   0.400   7.542814E-02  -9.828011E-12  -3.618980E-13  -6.317181E-15   2.274479E-15   7.177653E-02   3.003401E-12   9.753656E-14  -2.051520E-15   1.859637E-16
   0.500   7.689875E-02  -1.361057E-11  -8.514855E-13   6.504820E-16  -9.870378E-15   7.083652E-02   4.260013E-12   2.030043E-13   1.856376E-14  -7.710339E-15
   0.600   7.856775E-02  -1.685636E-11  -1.589083E-12  -4.814818E-14  -6.966485E-15   6.975587E-02   5.370311E-12   4.374834E-13  -5.504078E-16  -3.547614E-15
   0.700   8.036778E-02  -1.899326E-11  -2.645800E-12  -1.234415E-13  -5.063933E-15   6.857173E-02   6.187297E-12   7.823950E-13  -9.056711E-15  -5.135458E-15
   0.800   8.222740E-02  -1.953520E-11  -4.091352E-12  -1.892652E-13  -3.065539E-14   6.732469E-02   6.615752E-12   1.183751E-12   4.455802E-14  -1.998394E-14
   0.900   8.407442E-02  -1.828717E-11  -5.743260E-12  -3.907520E-13  -5.679044E-15   6.605731E-02   6.510167E-12   1.737995E-12   4.550872E-14   6.194020E-15
   1.000   8.583927E-02  -1.520639E-11  -7.556164E-12  -6.514577E-13  -7.624510E-15   6.481250E-02   5.816593E-12   2.369709E-12   9.423232E-14   1.333216E-14
   1.100   8.745820E-02  -1.050685E-11  -9.318504E-12  -1.032440E-12  -2.988293E-14   6.363188E-02   4.504931E-12   3.097200E-12   1.517625E-13   1.500584E-14
   1.200   8.887611E-02  -4.488732E-12  -1.090182E-11  -1.491980E-12  -1.143390E-13   6.255419E-02   2.709950E-12   3.824274E-12   2.737028E-13  -2.387487E-14
   1.300   9.004898E-02   2.315491E-12  -1.211387E-11  -2.029716E-12  -2.197232E-13   6.161378E-02   5.467471E-13   4.489711E-12   4.602786E-13  -6.328486E-14
   1.400   9.094564E-02   9.311706E-12  -1.265887E-11  -2.845283E-12  -1.867933E-13   6.083922E-02  -1.813895E-12   5.164494E-12   5.198227E-13   5.328574E-14
   1.500   9.154890E-02   1.576718E-11  -1.260248E-11  -3.531054E-12  -3.400989E-13   6.025225E-02  -4.252341E-12   5.601863E-12   7.918117E-13   3.054095E-14
   1.600   9.185591E-02   2.141111E-11  -1.183401E-11  -4.289666E-12  -5.367197E-13   5.986689E-02  -6.314295E-12   5.802234E-12   1.053506E-12   1.017078E-14
   1.700   9.187777E-02   2.570557E-11  -1.054292E-11  -4.840299E-12  -7.202229E-13   5.968901E-02  -7.869113E-12   5.561614E-12   1.489791E-12   4.570414E-14
   1.800   9.163845E-02   2.793979E-11  -8.188158E-12  -5.593370E-12  -8.350483E-13   5.971622E-02  -9.169147E-12   5.444020E-12   1.657978E-12   1.889963E-13
   1.900   9.117298E-02   2.899414E-11  -5.931630E-12  -5.718212E-12  -1.251321E-12   5.993814E-02  -9.205873E-12   4.550443E-12   2.235844E-12   1.096041E-13
   2.000   9.052514E-02   2.804704E-11  -2.892894E-12  -6.180104E-12  -1.407502E-12   6.033704E-02  -8.781546E-12   3.900755E-12   2.284330E-12   2.863125E-13
   2.100   8.974477E-02   2.627658E-11  -5.938791E-13  -5.652176E-12  -1.883683E-12   6.088889E-02  -7.119815E-12   2.413913E-12   2.931697E-12   1.982516E-13
   2.200   8.888474E-02   2.344606E-11   1.682009E-12  -5.213375E-12  -2.154131E-12   6.156460E-02  -4.848862E-12   1.014314E-12   3.172626E-12   3.125906E-13
